"","area_resultado","programa","acao","sub_acao","quantificacao_meta","quantificacao_executada","relacao_fisica","relacao_fisica_agrupamento","valor_orcado","valor_empenhado","relacao_financeira","relacao_financeira_agrupamento","eficacia","programa_tipo"
"77",6,88,3107,1,0,0,-1,"Não há meta",4433741,3260271,0.735331856326294,"0.7 a 1.3",0,"Associado"
"78",2,140,2046,6,106,106,1,"0.7 a 1.3",761666,440528,0.578374248029976,"0.4 a 0.7",1.72898435592651,"Associado"
"79",8,93,2334,20,7,16,2.28571428571429,"Acima de 2.0",10000,0,0,"Não há execução",-1,"Associado"
"80",10,234,2403,9,1,1,1,"0.7 a 1.3",229160,225160,0.982544946762088,"0.7 a 1.3",1.01776516437531,"Sustentador"
"81",3,212,2844,2,0,0,-1,"Não há meta",0,261264,-1,"Não há meta",0,"Sustentador"
"82",6,85,2604,3,0,0,-1,"Não há meta",471000,0,0,"Não há execução",0,"Associado"
"83",1,241,2873,1,0,0,-1,"Não há meta",50000,86845,1.7369,"1.3 a 2.0",0,"Sustentador"
"84",5,217,2853,11,100,281,2.81,"Acima de 2.0",0,0,-1,"Não há meta",-1,"Sustentador"
"85",9,73,2794,1,330000,330000,1,"0.7 a 1.3",1365287,984378,0.721004448148997,"0.7 a 1.3",1.38695394992828,"Associado"
"86",6,26,2174,1,0,0,-1,"Não há meta",3631600,3041261,0.837443826412601,"0.7 a 1.3",0,"Associado"
"87",10,101,2106,3,0,0,-1,"Não há meta",7683400,8380507,1.09072897415207,"0.7 a 1.3",0,"Associado"
"88",10,113,2334,28,900,2534,2.81555555555556,"Acima de 2.0",150000,0,0,"Não há execução",-1,"Associado"
"89",6,12,2548,11,24,24,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"90",6,105,2652,1,0,0,-1,"Não há meta",10977136,10859441,0.989278168731808,"0.7 a 1.3",0,"Associado"
"91",6,1,2002,1,0,0,-1,"Não há meta",50000,47713,0.95426,"0.7 a 1.3",0,"Associado"
"92",11,146,2900,1,0,0,-1,"Não há meta",10478400,11645499,1.11138141319285,"0.7 a 1.3",0,"Associado"
"93",10,236,2819,6,0,0,-1,"Não há meta",3e+05,139692,0.46564,"0.4 a 0.7",0,"Sustentador"
"94",2,207,2041,3,3000,3230,1.07666666666667,"0.7 a 1.3",850000,25354,0.0298282352941176,"0.01 a 0.4",36.0955505371094,"Sustentador"
"95",6,148,2900,1,0,0,-1,"Não há meta",6982200,10393704,1.48860015467904,"1.3 a 2.0",0,"Associado"
"96",9,59,2597,2,100,100,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"97",4,84,2035,1,0,0,-1,"Não há meta",57661000,55569358,0.963725186868074,"0.7 a 1.3",0,"Associado"
"98",10,101,2866,8,3,3,1,"0.7 a 1.3",27000,13950,0.516666666666667,"0.4 a 0.7",1.93548381328583,"Associado"
"99",2,140,2700,16,1,1,1,"0.7 a 1.3",430000,209897,0.488132558139535,"0.4 a 0.7",2.04862380027771,"Associado"
"100",10,101,2869,3,300,305,1.01666666666667,"0.7 a 1.3",102500,55313,0.539639024390244,"0.4 a 0.7",1.88397538661957,"Associado"
"101",2,206,2702,7,11,11,1,"0.7 a 1.3",19292000,15308808,0.793531411984242,"0.7 a 1.3",1.26018953323364,"Sustentador"
"102",5,237,2404,1,2000,2156,1.078,"0.7 a 1.3",3794839,3184649,0.839205299618772,"0.7 a 1.3",1.28454864025116,"Sustentador"
"103",10,101,2869,1,0,0,-1,"Não há meta",2381400,2246248,0.943246829596036,"0.7 a 1.3",0,"Associado"
"104",2,140,2317,2,0,0,-1,"Não há meta",751760,1290,0.00171597318293072,"0.01 a 0.4",0,"Associado"
"105",6,7,2900,1,0,0,-1,"Não há meta",6102206,5885470,0.964482352775373,"0.7 a 1.3",0,"Apoio Administrativo"
"106",9,57,2584,6,0,0,-1,"Não há meta",5000,0,0,"Não há execução",0,"Associado"
"107",10,132,2900,1,0,0,-1,"Não há meta",7134365,6442583,0.903035238595166,"0.7 a 1.3",0,"Associado"
"108",1,203,2894,10,24,26,1.08333333333333,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Sustentador"
"109",10,236,2331,4,5,10,2,"1.3 a 2.0",3000,0,0,"Não há execução",-1,"Sustentador"
"110",8,227,2334,5,6,7,1.16666666666667,"0.7 a 1.3",35000,4550,0.13,"0.01 a 0.4",8.97435855865479,"Sustentador"
"111",6,7,2900,1,0,0,-1,"Não há meta",3134200,2656116,0.847462191308787,"0.7 a 1.3",0,"Apoio Administrativo"
"112",10,236,2331,1,50,50,1,"0.7 a 1.3",2000,1560,0.78,"0.7 a 1.3",1.28205132484436,"Sustentador"
"113",8,93,2334,19,24,24,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"114",4,109,2791,1,2250,2389,1.06177777777778,"0.7 a 1.3",2484200,0,0,"Não há execução",-1,"Associado"
"115",1,241,2873,5,0,0,-1,"Não há meta",15000,5468,0.364533333333333,"0.01 a 0.4",0,"Sustentador"
"116",6,7,2110,1,0,0,-1,"Não há meta",2204500,1329856,0.603246087548197,"0.4 a 0.7",0,"Apoio Administrativo"
"117",6,105,2771,1,0,0,-1,"Não há meta",4717900,4524720,0.959053816316581,"0.7 a 1.3",0,"Associado"
"118",2,206,2702,12,180000,658848,3.66026666666667,"Acima de 2.0",2538251,2453299,0.9665312847311,"0.7 a 1.3",3.78701305389404,"Sustentador"
"119",10,113,2348,6,850,1044,1.22823529411765,"0.7 a 1.3",10500,0,0,"Não há execução",-1,"Associado"
"120",4,164,2541,3,89,168,1.8876404494382,"1.3 a 2.0",2800,7900,2.82142857142857,"Acima de 2.0",0.669037103652954,"Associado"
"121",9,57,2566,18,1,1,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"122",6,7,2900,8,156,156,1,"0.7 a 1.3",897250,810760,0.903605461131234,"0.7 a 1.3",1.10667765140533,"Apoio Administrativo"
"123",10,20,2878,2,296,296,1,"0.7 a 1.3",115593,47732,0.412931578901837,"0.4 a 0.7",2.42170858383179,"Associado"
"124",6,12,2548,5,12,12,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"125",10,238,2531,10,1,1,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Sustentador"
"126",9,72,2816,1,5,5,1,"0.7 a 1.3",6587563,3848518,0.584209669038459,"0.4 a 0.7",1.71171426773071,"Associado"
"127",9,69,2073,1,0,0,-1,"Não há meta",2498000,0,0,"Não há execução",0,"Associado"
"128",10,236,2041,6,80,102,1.275,"0.7 a 1.3",42000,0,0,"Não há execução",-1,"Sustentador"
"129",2,140,2885,1,6462,7034,1.08851748684618,"0.7 a 1.3",13159182,12090863,0.918815698422592,"0.7 a 1.3",1.18469619750977,"Associado"
"130",3,209,1330,6,0,0,-1,"Não há meta",91000,0,0,"Não há execução",0,"Sustentador"
"131",10,123,2334,2,0,0,-1,"Não há meta",43000,0,0,"Não há execução",0,"Associado"
"132",9,244,1244,2,0,0,-1,"Não há meta",1333467,0,0,"Não há execução",0,"Sustentador"
"133",6,105,2528,2,0,0,-1,"Não há meta",2084800,2325361,1.11538804681504,"0.7 a 1.3",0,"Associado"
"134",10,234,2883,1,750,1997,2.66266666666667,"Acima de 2.0",0,0,-1,"Não há meta",-1,"Sustentador"
"135",10,127,2900,1,0,0,-1,"Não há meta",8279800,7806323,0.942815406169231,"0.7 a 1.3",0,"Associado"
"136",10,132,2121,8,50,50,1,"0.7 a 1.3",1000,0,0,"Não há execução",-1,"Associado"
"137",9,59,2890,1,134800,159117,1.18039317507418,"0.7 a 1.3",56590083,51174230,0.904296782883319,"0.7 a 1.3",1.3053160905838,"Associado"
"138",5,86,2629,19,2,2,1,"0.7 a 1.3",515000,274375,0.532766990291262,"0.4 a 0.7",1.87699317932129,"Associado"
"139",10,19,2308,2,170000,170000,1,"0.7 a 1.3",25602250,23333533,0.911386030524661,"0.7 a 1.3",1.09722983837128,"Associado"
"140",10,20,2878,1,2150,2460,1.14418604651163,"0.7 a 1.3",8646411,15634790,1.80824043640766,"1.3 a 2.0",0.63276207447052,"Associado"
"141",10,127,2334,2,0,0,-1,"Não há meta",102000,0,0,"Não há execução",0,"Associado"
"142",8,93,2900,1,0,0,-1,"Não há meta",6614828,6984529,1.05588973742023,"0.7 a 1.3",0,"Associado"
"143",10,113,2334,2,0,0,-1,"Não há meta",378941,132894,0.350698393681338,"0.01 a 0.4",0,"Associado"
"144",10,234,1231,1,0,0,-1,"Não há meta",17000,0,0,"Não há execução",0,"Sustentador"
"145",5,217,2853,5,2,5,2.5,"Acima de 2.0",0,0,-1,"Não há meta",-1,"Sustentador"
"146",7,64,1207,8,0,0,-1,"Não há meta",5480334,244817,0.0446719123323505,"0.01 a 0.4",0,"Associado"
"147",9,57,2584,2,0,0,-1,"Não há meta",287000,619355,2.15803135888502,"Acima de 2.0",0,"Associado"
"148",7,225,1231,8,4036,6835,1.69350842418236,"1.3 a 2.0",5082779,2734412,0.537975780572006,"0.4 a 0.7",3.14792704582214,"Sustentador"
"149",5,217,2853,6,1,1,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Sustentador"
"150",5,86,2629,11,50,84,1.68,"1.3 a 2.0",388000,84865,0.218724226804124,"0.01 a 0.4",7.68090486526489,"Associado"
"151",6,26,3004,3,0,0,-1,"Não há meta",320922905,369035459,1.14991935212602,"0.7 a 1.3",0,"Associado"
"152",9,231,2564,12,1,2,2,"1.3 a 2.0",0,0,-1,"Não há meta",-1,"Sustentador"
"153",5,237,2404,11,160,173,1.08125,"0.7 a 1.3",824505,737517,0.894496698018811,"0.7 a 1.3",1.20878028869629,"Sustentador"
"154",4,109,2821,1,0,0,-1,"Não há meta",10939300,12241129,1.11900478092748,"0.7 a 1.3",0,"Associado"
"155",10,132,2305,4,0,0,-1,"Não há meta",1608020,1338582,0.832441138791806,"0.7 a 1.3",0,"Associado"
"156",9,57,2584,4,0,0,-1,"Não há meta",6950218,5672390,0.816145623058154,"0.7 a 1.3",0,"Associado"
"157",4,84,2035,1,0,0,-1,"Não há meta",2e+05,0,0,"Não há execução",0,"Associado"
"158",6,12,2523,2,40,72,1.8,"1.3 a 2.0",0,0,-1,"Não há meta",-1,"Associado"
"159",10,236,2331,5,400,569,1.4225,"1.3 a 2.0",2500,624,0.2496,"0.01 a 0.4",5.69911861419678,"Sustentador"
"160",6,7,2507,1,0,0,-1,"Não há meta",2300000,2467725,1.07292391304348,"0.7 a 1.3",0,"Apoio Administrativo"
"161",10,113,2348,2,200,241,1.205,"0.7 a 1.3",92100,4574,0.0496634093376764,"0.01 a 0.4",24.2633361816406,"Associado"
"162",10,127,2335,2,40,40,1,"0.7 a 1.3",127000,78998,0.622031496062992,"0.4 a 0.7",1.60763573646545,"Associado"
"163",1,30,2900,1,0,0,-1,"Não há meta",32932923,29110675,0.883938391985431,"0.7 a 1.3",0,"Associado"
"164",9,59,2571,1,3600,4175,1.15972222222222,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"165",6,12,2523,3,150,265,1.76666666666667,"1.3 a 2.0",0,0,-1,"Não há meta",-1,"Associado"
"166",7,64,1207,2,3000,3000,1,"0.7 a 1.3",1728755,0,0,"Não há execução",-1,"Associado"
"167",1,30,2620,4,861810,970189,1.12575741752823,"0.7 a 1.3",4072883,2943514,0.722710178514826,"0.7 a 1.3",1.55768859386444,"Associado"
"168",6,105,2771,2,0,0,-1,"Não há meta",294500,0,0,"Não há execução",0,"Associado"
"169",10,127,2697,3,10,22,2.2,"Acima de 2.0",1585000,108186,0.0682561514195584,"0.01 a 0.4",32.2315292358398,"Associado"
"170",10,101,2866,14,30,30,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"171",10,234,1353,1,34,34,1,"0.7 a 1.3",465000,2636,0.00566881720430108,"0.01 a 0.4",176.40364074707,"Sustentador"
"172",9,72,2812,3,1,1,1,"0.7 a 1.3",2278236,930284,0.408335220758517,"0.4 a 0.7",2.44896817207336,"Associado"
"173",6,7,2900,1,0,0,-1,"Não há meta",5458090,5926428,1.08580620693319,"0.7 a 1.3",0,"Apoio Administrativo"
"174",10,236,2819,2,1,1,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Sustentador"
"175",2,140,2886,11,0,0,-1,"Não há meta",9000,0,0,"Não há execução",0,"Associado"
"176",3,209,1330,6,0,0,-1,"Não há meta",878892,26715854,30.3971978354565,"Acima de 2.0",0,"Sustentador"
"177",9,57,2584,6,0,0,-1,"Não há meta",12909999,10071953,0.780166830376981,"0.7 a 1.3",0,"Associado"
"178",6,13,2052,1,0,0,-1,"Não há meta",31502121,30801528,0.977760449843996,"0.7 a 1.3",0,"Associado"
"179",6,15,2007,1,0,0,-1,"Não há meta",5701990,5988350,1.05022106317268,"0.7 a 1.3",0,"Associado"
"180",5,86,2629,4,1,1,1,"0.7 a 1.3",7300,0,0,"Não há execução",-1,"Associado"
"181",6,12,2367,1,0,0,-1,"Não há meta",2383943,2415623,1.0132889083338,"0.7 a 1.3",0,"Associado"
"182",6,7,2900,7,0,0,-1,"Não há meta",2530680,1116371,0.441134793810359,"0.4 a 0.7",0,"Apoio Administrativo"
"183",2,207,2703,1,98000,103835,1.05954081632653,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Sustentador"
"184",5,5,2758,2,12,19,1.58333333333333,"1.3 a 2.0",10000,0,0,"Não há execução",-1,"Associado"
"185",2,207,2886,16,2500,3290,1.316,"1.3 a 2.0",0,0,-1,"Não há meta",-1,"Sustentador"
"186",9,233,1219,5,0,0,-1,"Não há meta",12216617,10637364,0.870729106101959,"0.7 a 1.3",0,"Sustentador"
"187",6,12,2548,7,12,12,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"188",6,88,3011,1,0,0,-1,"Não há meta",3e+05,385882,1.28627333333333,"0.7 a 1.3",0,"Associado"
"189",9,57,2584,3,0,0,-1,"Não há meta",10107000,11091367,1.09739457801524,"0.7 a 1.3",0,"Associado"
"190",10,236,2333,3,3,15,5,"Acima de 2.0",5000,0,0,"Não há execução",-1,"Sustentador"
"191",5,5,2758,1,0,0,-1,"Não há meta",717100,637824,0.88944917026914,"0.7 a 1.3",0,"Associado"
"192",6,7,2900,1,0,0,-1,"Não há meta",4430978,4949375,1.11699381039581,"0.7 a 1.3",0,"Apoio Administrativo"
"193",6,26,3004,2,0,0,-1,"Não há meta",6533769,2450596,0.375066213696872,"0.01 a 0.4",0,"Associado"
"194",5,237,2702,10,3000,7539,2.513,"Acima de 2.0",50000,0,0,"Não há execução",-1,"Sustentador"
"195",5,237,2404,1,10000,20237,2.0237,"Acima de 2.0",860828,129331,0.150240233821391,"0.01 a 0.4",13.4697608947754,"Sustentador"
"196",4,164,2541,8,20,28,1.4,"1.3 a 2.0",9500,0,0,"Não há execução",-1,"Associado"
"197",9,233,1208,3,9,9,1,"0.7 a 1.3",33918650,23936275,0.705696571060464,"0.7 a 1.3",1.41703963279724,"Sustentador"
"198",6,13,2052,6,5,5,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"199",9,72,2900,1,0,0,-1,"Não há meta",5944740,6062522,1.01981280930705,"0.7 a 1.3",0,"Associado"
"200",11,239,2371,25,0,0,-1,"Não há meta",250000,317227,1.268908,"0.7 a 1.3",0,"Sustentador"
"201",6,12,2548,16,48,48,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"202",7,225,1231,1,0,0,-1,"Não há meta",40520704,22045979,0.544067028055584,"0.4 a 0.7",0,"Sustentador"
"203",11,239,2375,2,1,1,1,"0.7 a 1.3",40000,1e+05,2.5,"Acima de 2.0",0.400000005960464,"Sustentador"
"204",9,232,2877,6,0,0,-1,"Não há meta",1180000,0,0,"Não há execução",0,"Sustentador"
"205",1,117,2895,6,0,0,-1,"Não há meta",355000,23032,0.0648788732394366,"0.01 a 0.4",0,"Associado"
"206",3,62,1230,8,0,0,-1,"Não há meta",11031075,0,0,"Não há execução",0,"Associado"
"207",10,120,2797,1,10000,15672,1.5672,"1.3 a 2.0",2333000,2432414,1.04261208744106,"0.7 a 1.3",1.50314772129059,"Associado"
"208",10,113,2348,4,0,0,-1,"Não há meta",5000,0,0,"Não há execução",0,"Associado"
"209",10,123,2900,1,0,0,-1,"Não há meta",6684512,6328947,0.946807635321771,"0.7 a 1.3",0,"Associado"
"210",2,140,2046,12,0,0,-1,"Não há meta",4441071,9652523,2.17346739108652,"Acima de 2.0",0,"Associado"
"211",10,163,2884,6,0,0,-1,"Não há meta",9000,0,0,"Não há execução",0,"Associado"
"212",4,242,1355,1,1,1,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Sustentador"
"213",2,207,2886,9,1400,1451,1.03642857142857,"0.7 a 1.3",12000,29990,2.49916666666667,"Acima de 2.0",0.414709657430649,"Sustentador"
"214",6,97,2553,1,0,0,-1,"Não há meta",509400,453016,0.88931291715744,"0.7 a 1.3",0,"Associado"
"215",10,113,2327,1,0,0,-1,"Não há meta",20000,2715339,135.76695,"Acima de 2.0",0,"Associado"
"216",10,163,2860,4,2,2,1,"0.7 a 1.3",80000,20208,0.2526,"0.01 a 0.4",3.95882821083069,"Associado"
"217",9,230,1390,1,0,0,-1,"Não há meta",510000,0,0,"Não há execução",0,"Sustentador"
"218",2,140,2706,4,181,181,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"219",2,205,2707,2,25,29,1.16,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Sustentador"
"220",5,5,2887,2,3,7,2.33333333333333,"Acima de 2.0",25000,0,0,"Não há execução",-1,"Associado"
"221",6,88,2500,1,0,0,-1,"Não há meta",7450000,111504,0.0149669798657718,"0.01 a 0.4",0,"Associado"
"222",5,86,2900,1,0,0,-1,"Não há meta",15656521,16882941,1.07833285568358,"0.7 a 1.3",0,"Associado"
"223",5,218,2629,2,1,12,12,"Acima de 2.0",170000,0,0,"Não há execução",-1,"Sustentador"
"224",10,236,2333,1,90,182,2.02222222222222,"Acima de 2.0",7000,2250,0.321428571428571,"0.01 a 0.4",6.29135847091675,"Sustentador"
"225",9,57,2566,15,100,100,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"226",12,240,2876,9,1,1,1,"0.7 a 1.3",2288630,0,0,"Não há execução",-1,"Sustentador"
"227",6,999,9999,1,0,0,-1,"Não há meta",64961304,0,0,"Não há execução",0,"Associado"
"228",9,57,2900,1,0,0,-1,"Não há meta",3722900,3164460,0.849998656960971,"0.7 a 1.3",0,"Associado"
"229",6,4,2518,3,1,1,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"230",2,140,2700,9,17021,17021,1,"0.7 a 1.3",423199,171669,0.40564604358706,"0.4 a 0.7",2.46520328521729,"Associado"
"231",6,26,2871,1,0,0,-1,"Não há meta",1957739,1140907,0.582767672299525,"0.4 a 0.7",0,"Associado"
"232",1,202,2690,7,147,148,1.00680272108844,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Sustentador"
"233",9,46,2900,2,0,0,-1,"Não há meta",5e+05,0,0,"Não há execução",0,"Associado"
"234",9,57,2770,1,0,0,-1,"Não há meta",7716110,1727164,0.223838695923205,"0.01 a 0.4",0,"Associado"
"235",6,85,2602,5,25,62.38,2.4952,"Acima de 2.0",268143,6669,0.0248710576073215,"0.01 a 0.4",100.32544708252,"Associado"
"236",8,227,2334,6,2,2,1,"0.7 a 1.3",50000,0,0,"Não há execução",-1,"Sustentador"
"237",1,117,2895,5,0,0,-1,"Não há meta",254891354,279086214,1.09492224675459,"0.7 a 1.3",0,"Associado"
"238",2,205,2888,3,0,0,-1,"Não há meta",10356489,0,0,"Não há execução",0,"Sustentador"
"239",6,88,2500,1,0,0,-1,"Não há meta",805000,39702,0.0493192546583851,"0.01 a 0.4",0,"Associado"
"240",9,232,1343,3,0,0,-1,"Não há meta",2034075,2522757,1.24024777847424,"0.7 a 1.3",0,"Sustentador"
"241",1,157,2690,1,2500000,2578570,1.031428,"0.7 a 1.3",93636700,87644074,0.9360013114516,"0.7 a 1.3",1.1019514799118,"Associado"
"242",10,101,2866,13,1,1,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"243",1,114,2891,9,0,0,-1,"Não há meta",10990000,12102478,1.10122638762511,"0.7 a 1.3",0,"Associado"
"244",6,85,2605,3,10,15,1.5,"1.3 a 2.0",245001,92562,0.377802539581471,"0.01 a 0.4",3.97032785415649,"Associado"
"245",6,1,2001,1,0,0,-1,"Não há meta",207850000,181014952,0.870892239595862,"0.7 a 1.3",0,"Associado"
"246",9,73,2581,4,5,6,1.2,"0.7 a 1.3",19152,0,0,"Não há execução",-1,"Associado"
"247",2,140,2041,4,500,5058,10.116,"Acima de 2.0",96000,4680,0.04875,"0.01 a 0.4",207.507690429688,"Associado"
"248",6,26,3006,2,0,0,-1,"Não há meta",11024,28973,2.62817489114659,"Acima de 2.0",0,"Associado"
"249",6,26,3007,1,0,0,-1,"Não há meta",58275,30197,0.518181038181038,"0.4 a 0.7",0,"Associado"
"250",6,44,1219,5,0,0,-1,"Não há meta",2e+05,0,0,"Não há execução",0,"Associado"
"251",11,155,2375,5,9740,625325,64.2017453798768,"Acima de 2.0",580000,110575,0.190646551724138,"0.01 a 0.4",336.757965087891,"Associado"
"252",4,242,2881,6,1,1,1,"0.7 a 1.3",6100,0,0,"Não há execução",-1,"Sustentador"
"253",9,69,2564,4,300,315,1.05,"0.7 a 1.3",125935,0,0,"Não há execução",-1,"Associado"
"254",4,109,2802,1,0,0,-1,"Não há meta",4888900,5282663,1.08054224876762,"0.7 a 1.3",0,"Associado"
"255",6,33,3009,1,0,0,-1,"Não há meta",572000,399223,0.697942307692308,"0.4 a 0.7",0,"Associado"
"256",6,7,2900,1,0,0,-1,"Não há meta",5876900,5452392,0.927766679712093,"0.7 a 1.3",0,"Apoio Administrativo"
"257",10,120,2797,2,14000,14127,1.00907142857143,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"258",2,206,2858,2,1,1,1,"0.7 a 1.3",10084400,18979285,1.88204404823291,"1.3 a 2.0",0.531337201595306,"Sustentador"
"259",9,69,2514,11,90,90,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"260",9,57,2566,14,50,100,2,"1.3 a 2.0",60274,0,0,"Não há execução",-1,"Associado"
"261",6,12,2874,2,12,12,1,"0.7 a 1.3",1052980,889579,0.844820414442819,"0.7 a 1.3",1.18368351459503,"Associado"
"262",9,72,2812,1,78,78,1,"0.7 a 1.3",26753288,23682651,0.885223939577072,"0.7 a 1.3",1.12965762615204,"Associado"
"263",6,85,2605,2,0,0,-1,"Não há meta",2342000,2102601,0.897780102476516,"0.7 a 1.3",0,"Associado"
"264",9,46,2537,1,239040,523157.5,2.18857722556894,"Acima de 2.0",4686840,18535356,3.95476611106844,"Acima de 2.0",0.553402423858643,"Associado"
"265",9,233,1208,1,0,0,-1,"Não há meta",7263970,3564671,0.490733166574201,"0.4 a 0.7",0,"Sustentador"
"266",11,239,2338,4,1,1,1,"0.7 a 1.3",70000,0,0,"Não há execução",-1,"Sustentador"
"267",10,101,2106,7,0,0,-1,"Não há meta",1000,0,0,"Não há execução",0,"Associado"
"268",1,201,1371,4,0,0,-1,"Não há meta",50836435,64612805,1.27099402229916,"0.7 a 1.3",0,"Sustentador"
"269",9,232,2877,2,52,74,1.42307692307692,"1.3 a 2.0",5000,0,0,"Não há execução",-1,"Sustentador"
"270",2,140,2080,2,9,9,1,"0.7 a 1.3",45000,0,0,"Não há execução",-1,"Associado"
"271",6,96,2004,1,0,0,-1,"Não há meta",7406920,5717095,0.771858613296755,"0.7 a 1.3",0,"Associado"
"272",11,146,2334,12,9,11,1.22222222222222,"0.7 a 1.3",10000,0,0,"Não há execução",-1,"Associado"
"273",3,245,1393,4,1,1,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Sustentador"
"274",6,88,3091,1,0,0,-1,"Não há meta",1.3e+07,2762294,0.212484153846154,"0.01 a 0.4",0,"Associado"
"275",6,148,1373,1,0,0,-1,"Não há meta",2e+06,2182218,1.091109,"0.7 a 1.3",0,"Associado"
"276",9,243,1231,1,0,0,-1,"Não há meta",17000,0,0,"Não há execução",0,"Sustentador"
"277",6,26,3004,3,0,0,-1,"Não há meta",0,16214,-1,"Não há meta",0,"Associado"
"278",2,140,2046,3,106,106,1,"0.7 a 1.3",777298,969279,1.24698506878958,"0.7 a 1.3",0.80193418264389,"Associado"
"279",3,245,1393,6,25,31,1.24,"0.7 a 1.3",132973,0,0,"Não há execução",-1,"Sustentador"
"280",1,30,2875,1,164627,169528,1.02977032928985,"0.7 a 1.3",109363933,124733116,1.14053246420829,"0.7 a 1.3",0.902885615825653,"Associado"
"281",6,26,3006,1,0,0,-1,"Não há meta",150752,94444,0.62648588410104,"0.4 a 0.7",0,"Associado"
"282",10,132,2761,9,200,366,1.83,"1.3 a 2.0",0,0,-1,"Não há meta",-1,"Associado"
"283",6,12,2367,4,12,12,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Associado"
"284",1,30,2620,3,105268,128955,1.22501614925713,"0.7 a 1.3",4465206,1891439,0.423595014429345,"0.4 a 0.7",2.89195132255554,"Associado"
"285",1,114,2891,6,0,0,-1,"Não há meta",106977900,103262750,0.965271799128605,"0.7 a 1.3",0,"Associado"
"286",2,205,2707,1,25,26,1.04,"0.7 a 1.3",174000,366646,2.10716091954023,"Acima de 2.0",0.493555098772049,"Sustentador"
"287",10,236,2345,7,360,866,2.40555555555556,"Acima de 2.0",93000,5618,0.0604086021505376,"0.01 a 0.4",39.8214073181152,"Sustentador"
"288",10,235,2700,17,1,1,1,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Sustentador"
"289",4,164,2541,10,0,0,-1,"Não há meta",1953316,1698060,0.869321707291601,"0.7 a 1.3",0,"Associado"
"290",6,7,2900,7,0,0,-1,"Não há meta",2528880,1673079,0.661588924741388,"0.4 a 0.7",0,"Apoio Administrativo"
"291",2,207,2706,5,0,0,-1,"Não há meta",301000,0,0,"Não há execução",0,"Sustentador"
"292",9,69,2564,7,1,1,1,"0.7 a 1.3",7000,5945,0.849285714285714,"0.7 a 1.3",1.17746007442474,"Associado"
"293",10,113,2804,1,0,0,-1,"Não há meta",1133500,42316,0.03733215703573,"0.01 a 0.4",0,"Associado"
"294",10,113,2348,5,0,0,-1,"Não há meta",17000,0,0,"Não há execução",0,"Associado"
"295",10,132,2761,10,0,0,-1,"Não há meta",4307000,3220349,0.747701184118876,"0.7 a 1.3",0,"Associado"
"296",1,28,2829,9,60,94,1.56666666666667,"1.3 a 2.0",3271400,1944331,0.59434217766094,"0.4 a 0.7",2.63596749305725,"Associado"
"297",7,225,1231,23,0,0,-1,"Não há meta",9e+06,0,0,"Não há execução",0,"Sustentador"
"298",9,73,2580,3,6,6,1,"0.7 a 1.3",11183,0,0,"Não há execução",-1,"Associado"
"299",5,237,2404,10,0,0,-1,"Não há meta",2855120,2192933,0.768070343803413,"0.7 a 1.3",0,"Sustentador"
"300",6,7,2019,2,0,0,-1,"Não há meta",2233000,1243467,0.556859381997313,"0.4 a 0.7",0,"Apoio Administrativo"
"301",6,14,2710,1,0,0,-1,"Não há meta",137300000,114666930,0.835156081573197,"0.7 a 1.3",0,"Associado"
"302",8,93,2334,23,0,0,-1,"Não há meta",4284000,4602833,1.0744241363212,"0.7 a 1.3",0,"Associado"
"303",2,140,2317,1,0,0,-1,"Não há meta",3648281,5900436,1.61731949923813,"1.3 a 2.0",0,"Associado"
"304",6,7,2024,1,0,0,-1,"Não há meta",2118300,1987059,0.938044186375867,"0.7 a 1.3",0,"Apoio Administrativo"
