"","area_resultado","programa","acao","sub_acao","quantificacao_meta","quantificacao_executada","relacao_fisica","relacao_fisica_agrupamento","valor_orcado","valor_empenhado","relacao_financeira","relacao_financeira_agrupamento","eficacia","programa_tipo"
"1062",3,62,1230,3,1,0,0,"Não há execução",5e+06,0,0,"Não há execução",0,"Associado"
"1063",10,163,2859,5,9,6,0.666666666666667,"0.4 a 0.7",775000,128368,0.165636129032258,"0.01 a 0.4",4.02488708496094,"Associado"
"1064",10,132,2121,3,3,0,0,"Não há execução",1000,0,0,"Não há execução",0,"Associado"
"1065",10,238,2534,1,63,34,0.53968253968254,"0.4 a 0.7",6510525,5658261,0.86909442786872,"0.7 a 1.3",0.620971143245697,"Sustentador"
"1066",6,220,2021,1,277,54,0.194945848375451,"0.01 a 0.4",60000,7000,0.116666666666667,"0.01 a 0.4",1.67096436023712,"Sustentador"
"1067",10,101,2531,9,2,0,0,"Não há execução",0,0,-1,"Não há meta",0,"Associado"
"1068",9,243,1307,2,20,19.31,0.9655,"0.7 a 1.3",54168013,25927241,0.478644860020987,"0.4 a 0.7",2.01715326309204,"Sustentador"
"1069",10,163,2860,3,8,2,0.25,"0.01 a 0.4",395000,25923,0.0656278481012658,"0.01 a 0.4",3.80935859680176,"Associado"
"1070",2,207,2706,3,1,0,0,"Não há execução",2771070,996692,0.359677669636639,"0.01 a 0.4",0,"Sustentador"
"1071",3,209,1330,3,81,67,0.827160493827161,"0.7 a 1.3",1612733,576374,0.357389598898268,"0.01 a 0.4",2.31445026397705,"Sustentador"
"1072",9,69,2564,16,2,0,0,"Não há execução",0,0,-1,"Não há meta",0,"Associado"
"1073",6,9,1323,1,8,1,0.125,"0.01 a 0.4",5e+05,161576,0.323152,"0.01 a 0.4",0.3868148624897,"Associado"
"1074",5,218,2629,7,1,0,0,"Não há execução",186000,22645,0.121747311827957,"0.01 a 0.4",0,"Sustentador"
"1075",9,228,2537,13,1,0,0,"Não há execução",2534000,0,0,"Não há execução",0,"Sustentador"
"1076",6,44,1219,1,1,0,0,"Não há execução",0,0,-1,"Não há meta",0,"Associado"
"1077",2,206,2702,2,65355,62822,0.96124244510749,"0.7 a 1.3",35472080,12263492,0.345722382222864,"0.01 a 0.4",2.78038811683655,"Sustentador"
"1078",7,225,1231,19,31,14.64,0.472258064516129,"0.4 a 0.7",37237212,18870599,0.506767235957407,"0.4 a 0.7",0.931903302669525,"Sustentador"
"1079",6,14,2889,3,1,0,0,"Não há execução",0,0,-1,"Não há meta",0,"Associado"
"1080",6,85,2605,5,1,0,0,"Não há execução",2e+05,0,0,"Não há execução",0,"Associado"
"1081",4,242,1334,2,100,0,0,"Não há execução",20000,0,0,"Não há execução",0,"Sustentador"
"1082",10,132,2121,7,190,179,0.942105263157895,"0.7 a 1.3",15000,0,0,"Não há execução",-1,"Associado"
"1083",9,46,2539,4,708557,697181.28,0.983945229529876,"0.7 a 1.3",92582329,105504212,1.13957180748823,"0.7 a 1.3",0.863434135913849,"Associado"
"1084",10,101,2866,4,1500,1471,0.980666666666667,"0.7 a 1.3",576000,1028292,1.78522916666667,"1.3 a 2.0",0.549322545528412,"Associado"
"1085",7,226,1207,18,72,0,0,"Não há execução",1692000,0,0,"Não há execução",0,"Sustentador"
"1086",2,140,2700,10,2000,0,0,"Não há execução",7470000,0,0,"Não há execução",0,"Associado"
"1087",10,238,2106,6,21,18,0.857142857142857,"0.7 a 1.3",0,0,-1,"Não há meta",-1,"Sustentador"
"1088",1,204,2334,24,500,82,0.164,"0.01 a 0.4",690000,131168,0.190098550724638,"0.01 a 0.4",0.862710416316986,"Sustentador"
"1089",6,85,2605,4,1000,743,0.743,"0.7 a 1.3",240408,344000,1.43090080196998,"1.3 a 2.0",0.519253373146057,"Associado"
"1090",10,19,2405,2,100923,79550,0.788224686146864,"0.7 a 1.3",3626795,1858812,0.51252193741306,"0.4 a 0.7",1.53793358802795,"Associado"
"1091",6,220,2889,8,1,0,0,"Não há execução",0,0,-1,"Não há meta",0,"Sustentador"
"1092",7,225,1203,2,10,0,0,"Não há execução",47643,0,0,"Não há execução",0,"Sustentador"
"1093",4,164,2541,4,42,2,0.0476190476190476,"0.01 a 0.4",5000,0,0,"Não há execução",-1,"Associado"
"1094",9,59,2854,2,967,583,0.602895553257497,"0.4 a 0.7",177642,0,0,"Não há execução",-1,"Associado"
"1095",10,238,2866,9,1,0,0,"Não há execução",0,0,-1,"Não há meta",0,"Sustentador"
"1096",4,242,2881,3,1750,1003,0.573142857142857,"0.4 a 0.7",198294,0,0,"Não há execução",-1,"Sustentador"
